player_id,league,appearances,matches_started,minutes_played,goals,assists,expected_goals,expected_assists,rating,total_shots,shots_on_target,yellow_cards,red_cards,tackles,interceptions,saves
839156,Serie A,29,15,1482,10,4,12.2285,1.73868572,6.7379310344828,85,28,2,0,12,3,0
984184,Serie A,29,21,1633,2,4,2.7069,4.00890167,6.9586206896552,34,6,3,0,22,13,0
946888,Serie A,26,23,1948,1,0,4.0721,1.34399808,6.95,32,9,2,0,51,23,0
190437,Serie A,28,19,1684,3,4,1.9621,2.40872882,6.9392857142857,16,6,2,0,24,10,0
980624,Serie A,23,10,939,2,1,2.817,2.43669781,6.7818181818182,22,7,1,0,11,8,0
983815,Serie A,17,4,529,1,0,0.5809,0.74535639,6.7625,6,1,1,0,8,4,0
826185,Serie A,21,13,1251,0,1,0.4756,1.78708747,6.7,13,5,1,0,18,7,0
132318,Serie A,30,26,2251,2,3,1.6187,4.43213181,6.8466666666667,33,7,3,0,18,19,0
100389,Serie A,29,27,2321,1,2,0.7656,1.7627567,7.1068965517241,14,4,6,1,72,18,0
1012177,Serie A,23,17,1572,0,3,0.4032,3.45036662,6.9782608695652,9,1,3,0,29,14,0
973437,Serie A,17,10,962,1,0,0.3877,0.14630651,6.65625,5,1,1,0,16,9,0
142148,Serie A,16,13,1059,0,0,0.1948,0.2734921,6.71875,3,0,3,0,24,8,0
1012176,Serie A,19,18,1432,3,0,2.5158,1.32368102,7.1473684210526,17,6,2,0,36,32,0
1157713,Serie A,25,18,1752,1,0,0.8017,0.30156464,6.852,8,3,4,0,43,22,0
1634980,Serie A,18,12,1082,0,0,1.5951,0.667515,6.6555555555556,10,2,1,1,28,14,0
151003,Serie A,30,26,2274,0,0,1.2309,0.67429969,6.9333333333333,13,2,4,0,46,27,0
865646,Serie A,33,33,2970,0,0,,0.05022936,7.3212121212121,0,0,0,0,0,0,100
1116577,Serie A,30,22,2045,7,2,6.6609,0.80526782,6.76,55,18,2,0,9,1,0
